行業別大類,行業別中類,行業別小類,月份,售電量
A.農、林、漁、牧業,01 農、牧業,011 農作物栽培業,01,45585350
A.農、林、漁、牧業,01 農、牧業,012 畜牧業,01,61202810
A.農、林、漁、牧業,01 農、牧業,013 農事及畜牧服務業,01,56005066
A.農、林、漁、牧業,02 林業,021 林業,01,203924
A.農、林、漁、牧業,03 漁業,031 漁撈業,01,279345
A.農、林、漁、牧業,03 漁業,032 水產養殖業,01,83123214
B.礦業及土石採取業,05 石油及天然氣礦業,,01,3329342
B.礦業及土石採取業,06 砂、石採取及其他礦業,,01,24885470
C.製造業,08 食品及飲料製造業,081 肉類加工及保藏業,01,52220474
C.製造業,08 食品及飲料製造業,082 水產加工及保藏業,01,24646834
C.製造業,08 食品及飲料製造業,083 蔬果加工及保藏業,01,21871036
C.製造業,08 食品及飲料製造業,084 動植物油脂製造業,01,14585032
C.製造業,08 食品及飲料製造業,085 乳品製造業,01,26117061
C.製造業,08 食品及飲料製造業,086 碾榖、磨粉及澱粉製品製造業,01,20814923
C.製造業,08 食品及飲料製造業,087 動物飼品製造業,01,29098615
C.製造業,08 食品及飲料製造業,089 其他食品製造業,01,159940586
C.製造業,09 飲料製造業,091 酒精飲料製造業,01,8916224
C.製造業,09 飲料製造業,092 非酒精飲料製造業,01,17043950
C.製造業,10菸草製造業,,01,3387062
C.製造業,11 紡織業,111 紡紗業,01,96156498
C.製造業,11 紡織業,112 織布業,01,134202967
C.製造業,11 紡織業,113 不織布業,01,23491307
C.製造業,11 紡織業,114 染整業,01,47565141
C.製造業,11 紡織業,115 紡織品製造業,01,21612712
C.製造業,12 成衣及服飾品製造業,121 成衣製造業,01,10319729
C.製造業,12 成衣及服飾品製造業,123 服飾品製造業,01,3543349
C.製造業,13 皮革、毛皮及其製品製造業,,01,8917346
C.製造業,14 木竹製品製造業,,01,11393271
C.製造業,15 紙漿、紙及紙製品製造業,151 紙漿、紙及紙板製造業,01,86943232
C.製造業,15 紙漿、紙及紙製品製造業,152 瓦楞紙板及紙容器製造業,01,35926894
C.製造業,15 紙漿、紙及紙製品製造業,153 其他紙製品製造業,01,31111117
C.製造業,16 印刷及資料儲存媒體複製業,,01,34462637
C.製造業,17 石油及煤製品製造業,,01,122720636
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,181 化學原材料製造業,01,457218664
