行業別大類,行業別中類,行業別小類,月份,售電量
A.農、林、漁、牧業,01 農、牧業,011 農作物栽培業,01,35634221
A.農、林、漁、牧業,01 農、牧業,012 畜牧業,01,45376760
A.農、林、漁、牧業,01 農、牧業,013 農事及畜牧服務業,01,55415251
A.農、林、漁、牧業,02 林業,021 林業,01,154920
A.農、林、漁、牧業,03 漁業,031 漁撈業,01,117451
A.農、林、漁、牧業,03 漁業,032 水產養殖業,01,69611881
B.礦業及土石採取業,05 石油及天然氣礦業,,01,2385080
B.礦業及土石採取業,06 砂、石採取及其他礦業,,01,18779961
C.製造業,08 食品及飲料製造業,081 肉類加工及保藏業,01,33270658
C.製造業,08 食品及飲料製造業,082 水產加工及保藏業,01,14827872
C.製造業,08 食品及飲料製造業,083 蔬果加工及保藏業,01,14868239
C.製造業,08 食品及飲料製造業,084 動植物油脂製造業,01,11007342
C.製造業,08 食品及飲料製造業,085 乳品製造業,01,16801191
C.製造業,08 食品及飲料製造業,086 碾榖、磨粉及澱粉製品製造業,01,16978294
C.製造業,08 食品及飲料製造業,087 動物飼品製造業,01,27020016
C.製造業,08 食品及飲料製造業,089 其他食品製造業,01,123960887
C.製造業,09 飲料製造業,091 酒精飲料製造業,01,8455072
C.製造業,09 飲料製造業,092 非酒精飲料製造業,01,22311705
C.製造業,10菸草製造業,,01,3550476
C.製造業,11 紡織業,111 紡紗業,01,105981126
C.製造業,11 紡織業,112 織布業,01,165863758
C.製造業,11 紡織業,113 不織布業,01,24215664
C.製造業,11 紡織業,114 染整業,01,49878506
C.製造業,11 紡織業,115 紡織品製造業,01,20942683
C.製造業,12 成衣及服飾品製造業,121 成衣製造業,01,10183744
C.製造業,12 成衣及服飾品製造業,123 服飾品製造業,01,3225860
C.製造業,13 皮革、毛皮及其製品製造業,,01,9740412
C.製造業,14 木竹製品製造業,,01,9411279
C.製造業,15 紙漿、紙及紙製品製造業,151 紙漿、紙及紙板製造業,01,85967306
C.製造業,15 紙漿、紙及紙製品製造業,152 瓦楞紙板及紙容器製造業,01,28002246
C.製造業,15 紙漿、紙及紙製品製造業,153 其他紙製品製造業,01,27669235
C.製造業,16 印刷及資料儲存媒體複製業,,01,30364129
C.製造業,17 石油及煤製品製造業,,01,184326991
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,181 化學原材料製造業,01,417715926
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,183 肥料及氮化合物製造業,01,12426507
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,184 塑膠及合成橡膠原料製造業,01,192360091
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,185 人造纖維製造業,01,113256406
C.製造業,19 其他化學製品製造業,191 農藥及環境用藥製造業,01,3791191
C.製造業,19 其他化學製品製造業,192 塗料、染料及顏料製造業,01,14897347
C.製造業,19 其他化學製品製造業,193 清潔用品及化粧品製造業,01,10658998
C.製造業,19 其他化學製品製造業,199 未分類其他化學製品製造業,01,76504672
C.製造業,20 藥品及醫用化學製品製造業,,01,59581720
C.製造業,21 橡膠製品製造業,,01,71240550
C.製造業,22 塑膠製品製造業,,01,373740184
C.製造業,23 非金屬礦物製品製造業,231 玻璃及其製品製造業,01,236245215
C.製造業,23 非金屬礦物製品製造業,232 耐火、黏土建材及其他陶瓷製品製造業,01,24365397
C.製造業,23 非金屬礦物製品製造業,233 水泥及其製品製造業,01,127510444
C.製造業,23 非金屬礦物製品製造業,234 石材製品製造業,01,7547701
C.製造業,23 非金屬礦物製品製造業,239 其他非金屬礦物製品製造業,01,33607621
C.製造業,24 基本金屬製造業,241 鋼鐵製造業,01,857987309
C.製造業,24 基本金屬製造業,242 鋁製造業,01,53980340
C.製造業,24 基本金屬製造業,243 銅製造業,01,91527971
C.製造業,24 基本金屬製造業,249 其他基本金屬製造業,01,22120909
C.製造業,25 金屬製品製造業,251 金屬刀具、手工具及模具製造業,01,72155573
C.製造業,25 金屬製品製造業,252 金屬結構及建築組件製造業,01,62036860
C.製造業,25 金屬製品製造業,253 金屬容器製造業,01,10364020
C.製造業,25 金屬製品製造業,254 金屬加工處理業,01,142556025
C.製造業,25 金屬製品製造業,259 其他金屬製品製造業,01,131650800
C.製造業,26 電子零組件製造業,261 半導體製造業,01,2307116761
C.製造業,26 電子零組件製造業,262 被動電子元件製造業,01,143450386
C.製造業,26 電子零組件製造業,263 印刷電路板製造業,01,256652180
C.製造業,26 電子零組件製造業,264 光電材料及元件製造業,01,924867194
C.製造業,26 電子零組件製造業,269 其他電子零組件製造業,01,271971360
C.製造業,27 電腦、電子產品及光學製品製造業,271 電腦及其週邊設備製造業,01,39745530
C.製造業,27 電腦、電子產品及光學製品製造業,272 通訊傳播設備製造業,01,21434993
C.製造業,27 電腦、電子產品及光學製品製造業,273 視聽電子產品製造業,01,5920978
C.製造業,27 電腦、電子產品及光學製品製造業,274 資料儲存媒體製造業,01,18981691
C.製造業,27 電腦、電子產品及光學製品製造業,275 量測、導航、控制設備及鐘錶製造業,01,13574633
C.製造業,27 電腦、電子產品及光學製品製造業,276 輻射及電子醫學設備製造業,01,940488
