年度,縣市,用電性質,用電比例,,
2024,彰化縣,機關(政府+包燈+大專院校),2.07,,
2024,彰化縣,工業,49.67,,
2024,彰化縣,其他,4.64,,
2024,南投縣,住宅,31.82,,
2024,南投縣,服務業,21.53,,
2024,南投縣,機關(政府+包燈+大專院校),4.27,,
2024,南投縣,工業,38.42,,
2024,南投縣,其他,3.96,,
2024,雲林縣,住宅,25.49,,
2024,雲林縣,服務業,14.06,,
2024,雲林縣,機關(政府+包燈+大專院校),2.79,,
2024,雲林縣,工業,49.97,,
2024,雲林縣,其他,7.69,,
2024,嘉義縣,住宅,30.14,,
2024,嘉義縣,服務業,16.13,,
2024,嘉義縣,機關(政府+包燈+大專院校),4.35,,
2024,嘉義縣,工業,40.33,,
2024,嘉義縣,其他,9.04,,
2024,屏東縣,住宅,33.63,,
2024,屏東縣,服務業,22.66,,
2024,屏東縣,機關(政府+包燈+大專院校),4.23,,
2024,屏東縣,工業,25.14,,
2024,屏東縣,其他,14.34,,
2024,台東縣,住宅,41.82,,
2024,台東縣,服務業,36.59,,
2024,台東縣,機關(政府+包燈+大專院校),7.23,,
2024,台東縣,工業,11.42,,
2024,台東縣,其他,2.93,,
2024,花蓮縣,住宅,28.73,,
2024,花蓮縣,服務業,26.13,,
2024,花蓮縣,機關(政府+包燈+大專院校),6.27,,
2024,花蓮縣,工業,37.75,,
2024,花蓮縣,其他,1.12,,
2024,基隆市,住宅,48.73,,
2024,基隆市,服務業,32.54,,
2024,基隆市,機關(政府+包燈+大專院校),5.12,,
2024,基隆市,工業,13.26,,
2024,基隆市,其他,0.35,,
2024,新竹市,住宅,12.41,,
2024,新竹市,服務業,12.95,,
2024,新竹市,機關(政府+包燈+大專院校),2.45,,
2024,新竹市,工業,72.09,,
2024,新竹市,其他,0.1,,
2024,嘉義市,住宅,44.84,,
2024,嘉義市,服務業,42.26,,
2024,嘉義市,機關(政府+包燈+大專院校),5.34,,
2024,嘉義市,工業,6.85,,
2024,嘉義市,其他,0.7,,
2024,澎湖縣,住宅,40.44,,
