年度,縣市,用電性質,用電比例,,
2019,台南市,其他,1.43,,
2019,高雄市,住宅,18.63,,
2019,高雄市,服務業,17.89,,
2019,高雄市,機關(政府+包燈+大專院校),3.16,,
2019,高雄市,工業,59.5,,
2019,高雄市,其他,0.82,,
2019,宜蘭縣,住宅,26.35,,
2019,宜蘭縣,服務業,22.18,,
2019,宜蘭縣,機關(政府+包燈+大專院校),4.26,,
2019,宜蘭縣,工業,45.2,,
2019,宜蘭縣,其他,2.01,,
2019,新竹縣,住宅,12.22,,
2019,新竹縣,服務業,9.59,,
2019,新竹縣,機關(政府+包燈+大專院校),1.46,,
2019,新竹縣,工業,76.53,,
2019,新竹縣,其他,0.2,,
2019,苗栗縣,住宅,14.92,,
2019,苗栗縣,服務業,9.69,,
2019,苗栗縣,機關(政府+包燈+大專院校),2.06,,
2019,苗栗縣,工業,72.87,,
2019,苗栗縣,其他,0.46,,
2019,彰化縣,住宅,20.91,,
2019,彰化縣,服務業,17.78,,
2019,彰化縣,機關(政府+包燈+大專院校),2.39,,
2019,彰化縣,工業,54.81,,
2019,彰化縣,其他,4.11,,
2019,南投縣,住宅,30.19,,
2019,南投縣,服務業,21.31,,
2019,南投縣,機關(政府+包燈+大專院校),4.58,,
2019,南投縣,工業,40.28,,
2019,南投縣,其他,3.64,,
2019,雲林縣,住宅,23.33,,
2019,雲林縣,服務業,13.86,,
2019,雲林縣,機關(政府+包燈+大專院校),3.02,,
2019,雲林縣,工業,52.93,,
2019,雲林縣,其他,6.86,,
2019,嘉義縣,住宅,31.03,,
2019,嘉義縣,服務業,17.23,,
2019,嘉義縣,機關(政府+包燈+大專院校),5.21,,
2019,嘉義縣,工業,37.07,,
2019,嘉義縣,其他,9.46,,
2019,屏東縣,住宅,33.2,,
2019,屏東縣,服務業,21.99,,
2019,屏東縣,機關(政府+包燈+大專院校),4.73,,
2019,屏東縣,工業,24.91,,
2019,屏東縣,其他,15.17,,
2019,台東縣,住宅,39.94,,
2019,台東縣,服務業,36.48,,
2019,台東縣,機關(政府+包燈+大專院校),8.22,,
2019,台東縣,工業,12.74,,
2019,台東縣,其他,2.62,,
2019,花蓮縣,住宅,26.27,,
2019,花蓮縣,服務業,28.19,,
2019,花蓮縣,機關(政府+包燈+大專院校),6.67,,
2019,花蓮縣,工業,37.89,,
2019,花蓮縣,其他,0.98,,
2019,基隆市,住宅,46.4,,
2019,基隆市,服務業,33.65,,
2019,基隆市,機關(政府+包燈+大專院校),5.58,,
2019,基隆市,工業,14.36,,
2019,基隆市,其他,0.01,,
2019,新竹市,住宅,9.38,,
2019,新竹市,服務業,11.76,,
2019,新竹市,機關(政府+包燈+大專院校),2.25,,
2019,新竹市,工業,76.51,,
2019,新竹市,其他,0.1,,
2019,嘉義市,住宅,42.59,,
2019,嘉義市,服務業,43.45,,
2019,嘉義市,機關(政府+包燈+大專院校),5.84,,
2019,嘉義市,工業,7.53,,
2019,嘉義市,其他,0.59,,
2019,澎湖縣,住宅,37.95,,
2019,澎湖縣,服務業,40.44,,
2019,澎湖縣,機關(政府+包燈+大專院校),10.32,,
2019,澎湖縣,工業,10.39,,
2019,澎湖縣,其他,0.9,,
2019,金門縣,住宅,37.76,,
2019,金門縣,服務業,36.56,,
2019,金門縣,機關(政府+包燈+大專院校),12.91,,
2019,金門縣,工業,11.84,,
2019,金門縣,其他,0.93,,
2019,連江縣,住宅,35.44,,
2019,連江縣,服務業,41.51,,
2019,連江縣,機關(政府+包燈+大專院校),13.26,,
2019,連江縣,工業,9.65,,
2019,連江縣,其他,0.14,,
2018,新北市,住宅,39.21,,
2018,新北市,服務業,28.22,,
2018,新北市,機關(政府+包燈+大專院校),3.24,,
2018,新北市,工業,29.19,,
2018,新北市,其他,0.14,,
2018,台北市,住宅,31.26,,
2018,台北市,服務業,55.85,,
2018,台北市,機關(政府+包燈+大專院校),8.88,,
2018,台北市,工業,3.97,,
2018,台北市,其他,0.04,,
2018,桃園市,住宅,15.92,,
2018,桃園市,服務業,14.77,,
2018,桃園市,機關(政府+包燈+大專院校),2.11,,
2018,桃園市,工業,67.04,,
2018,桃園市,其他,0.16,,
2018,台中市,住宅,18.93,,
2018,台中市,服務業,16.88,,
2018,台中市,機關(政府+包燈+大專院校),2.37,,
2018,台中市,工業,61.27,,
2018,台中市,其他,0.55,,
2018,台南市,住宅,14.32,,
2018,台南市,服務業,11.62,,
2018,台南市,機關(政府+包燈+大專院校),1.88,,
2018,台南市,工業,70.79,,
2018,台南市,其他,1.39,,
2018,高雄市,住宅,18.14,,
2018,高雄市,服務業,17.54,,
2018,高雄市,機關(政府+包燈+大專院校),3.18,,
2018,高雄市,工業,60.34,,
2018,高雄市,其他,0.8,,
2018,宜蘭縣,住宅,26.47,,
2018,宜蘭縣,服務業,22.17,,
2018,宜蘭縣,機關(政府+包燈+大專院校),4.39,,
2018,宜蘭縣,工業,44.98,,
2018,宜蘭縣,其他,1.99,,
2018,新竹縣,住宅,11.91,,
2018,新竹縣,服務業,9.34,,
2018,新竹縣,機關(政府+包燈+大專院校),1.45,,
2018,新竹縣,工業,77.12,,
2018,新竹縣,其他,0.18,,
2018,苗栗縣,住宅,14.66,,
2018,苗栗縣,服務業,9.43,,
2018,苗栗縣,機關(政府+包燈+大專院校),2.05,,
2018,苗栗縣,工業,73.43,,
2018,苗栗縣,其他,0.43,,
2018,彰化縣,住宅,21.14,,
2018,彰化縣,服務業,17.72,,
2018,彰化縣,機關(政府+包燈+大專院校),2.5,,
2018,彰化縣,工業,54.65,,
2018,彰化縣,其他,3.99,,
2018,南投縣,住宅,30.03,,
2018,南投縣,服務業,21,,
2018,南投縣,機關(政府+包燈+大專院校),4.62,,
2018,南投縣,工業,40.76,,
2018,南投縣,其他,3.59,,
2018,雲林縣,住宅,23.36,,
2018,雲林縣,服務業,13.66,,
2018,雲林縣,機關(政府+包燈+大專院校),3.03,,
2018,雲林縣,工業,53.17,,
2018,雲林縣,其他,6.78,,
2018,嘉義縣,住宅,31.21,,
2018,嘉義縣,服務業,17.04,,
2018,嘉義縣,機關(政府+包燈+大專院校),5.26,,
2018,嘉義縣,工業,37.55,,
2018,嘉義縣,其他,8.94,,
2018,屏東縣,住宅,33.6,,
2018,屏東縣,服務業,22.46,,
2018,屏東縣,機關(政府+包燈+大專院校),4.92,,
2018,屏東縣,工業,24.01,,
2018,屏東縣,其他,15.01,,
2018,台東縣,住宅,39.96,,
2018,台東縣,服務業,36.92,,
2018,台東縣,機關(政府+包燈+大專院校),8.34,,
2018,台東縣,工業,12.57,,
2018,台東縣,其他,2.21,,
2018,花蓮縣,住宅,25.58,,
2018,花蓮縣,服務業,27.7,,
2018,花蓮縣,機關(政府+包燈+大專院校),6.61,,
2018,花蓮縣,工業,39.27,,
2018,花蓮縣,其他,0.84,,
2018,基隆市,住宅,46.64,,
2018,基隆市,服務業,33.77,,
2018,基隆市,機關(政府+包燈+大專院校),5.69,,
2018,基隆市,工業,13.89,,
2018,基隆市,其他,0.01,,
2018,新竹市,住宅,9.55,,
2018,新竹市,服務業,11.81,,
2018,新竹市,機關(政府+包燈+大專院校),2.23,,
2018,新竹市,工業,76.31,,
2018,新竹市,其他,0.1,,
2018,嘉義市,住宅,43.02,,
2018,嘉義市,服務業,43.23,,
2018,嘉義市,機關(政府+包燈+大專院校),6.21,,
2018,嘉義市,工業,6.92,,
2018,嘉義市,其他,0.62,,
2018,澎湖縣,住宅,37.92,,
2018,澎湖縣,服務業,40.81,,
2018,澎湖縣,機關(政府+包燈+大專院校),10.38,,
2018,澎湖縣,工業,10,,
2018,澎湖縣,其他,0.89,,
2018,金門縣,住宅,36.94,,
2018,金門縣,服務業,36.83,,
2018,金門縣,機關(政府+包燈+大專院校),13.44,,
2018,金門縣,工業,11.91,,
2018,金門縣,其他,0.88,,
2018,連江縣,住宅,34.59,,
2018,連江縣,服務業,42.23,,
2018,連江縣,機關(政府+包燈+大專院校),13.73,,
2018,連江縣,工業,9.36,,
2018,連江縣,其他,0.09,,
